# RAYS OF BELIEF LIMITED Corporate Identity Number : U85110DL2017PLC322623  REGISTERED OFFICE CORPORAT[...]

## **RAYS OF BELIEF LIMITED**

#### **Company related terms**

3
|  Term  |  Description  |
|:---|:---|
|  | consolidated financial information. The applicable criteria, on the basis of which our Company has  compiled the pro forma consolidated financial information as required under clause 11(I)(B)(iii) of  the SEBI ICDR Regulations, as required by our Company, are specified in Note 1 of the pro forma  consolidated financial information. The unaudited pro forma consolidated combined financial  information has been compiled by our Company to illustrate the impact of the acquisition of Mom’s  Belief US Inc. along with our Step-Down Subsidiary on our financial position as at March 31, 2025  and our financial performance for the year ended March 31, 2025 as if the acquisitions had taken  place at the beginning of the said financial year, being April 01, 2024. Our Statutory Auditor has  issued a report in accordance with SAE 3420 on the pro forma consolidated financial information  |
| “Promoters”  | Promoters of our Company being Nitin Bindlish and Carving Futures Pte. Ltd.  |
| “Promoter Group”  | Companies, individuals and entities (other than companies) as defined under Regulation 2, sub- regulation (zb) (ii) of the SEBI ICDR Regulations  |
| “Registered Office”  | The registered office our Company is situated at J-1919, Basement, Chittranjan Park, New Delhi,  India - 110 019  |
| “ROC / Registrar of Companies”  | Registrar of Companies, NCT of Delhi and Haryana at New Delhi  |
| “Restated Standalone Financial  Information”  | The restated financial information of our Company comprises the restated standalone financial  information of assets and liabilities for the Fiscals 2025, 2024 and 2023, the restated standalone  financial information of profit and loss, restated standalone financial information of changes in  equity and the restated standalone financial information of cash flows for the Fiscals 2025, 2024  and 2023 and the financial information of material accounting policies, and other explanatory notes  information prepared in terms of Section 26 of Part I of Chapter III of the Companies Act, 2013,  SEBI ICDR Regulations and the Guidance Note on Reports in Company Prospectuses (Revised  2019) issued by the Institute of Chartered Accountants of India, each as amended.  |
| “Restated  Consolidated  Financial Information” | The restated consolidated financial information of our Company comprises the restated consolidated  financial information of assets and liabilities for the six months period ended September 30, 2025,  the restated consolidated financial information of profit and loss, restated consolidated financial  information of changes in equity and the restated consolidated financial information of cash flows  for the six months period ended September 30, 2025, and the financial information of material  accounting policies, and other explanatory notes information prepared in terms of Section 26 of Part  I of Chapter III of the Companies Act, 2013, SEBI ICDR Regulations and the Guidance Note on  Reports in Company Prospectuses (Revised 2019) issued by the Institute of Chartered Accountants  of India, each as amended.  Our Company did not have any subsidiaries or consolidated entities as at and for the financial years  ended March 31, 2025, March 31, 2024 and March 2023 |
| “Restated Financial Information”  | The restated financial information of the Company comprising of Restated Consolidated Financial  Information together with Restated Standalone Financial Information.  |
| “Shareholders”  | The holders of the equity shares of our Company whose names are entered into (i) the register of  members of our Company; or (ii) the records of a depository as a beneficial owner of Equity Shares  |
| “Social Impact Assessor”  | Social Impact Assessor means an individual registered with a self regulatory organization under the  Institute of Chartered Accountants of India or such other agency, as may be specified by the Board,  who has qualified a certification program conducted by National Institute of Securities Market and  holds a valid certificate  |
| “Stakeholders’  Relationship  Committee”  | The stakeholders’ relationship committee of our Board constituted in accordance with the  Companies Act, 2013 and the SEBI Listing Regulations, as described in  “Our Management -  Committees of our Board of Directors -  Stakeholders’ Relationship Committee”  on page 280 of  this Updated Draft Red Herring Prospectus - I  |
| “Step- Down Subsidiary”  | The step -  down subsidiary of our Company being Allergy & Immunology Virginia, LLC, the  details of which are set out in  “History and certain Corporate Matters”  on page 262 of this Updated  Draft Red Herring Prospectus - I  |
| “Subsidiary”  | The subsidiary of our Company being Mom’s Belief US Inc., the details of which are set out in  “History and certain Corporate Matters”  on page 262 of this Updated Draft Red Herring  Prospectus - I  |
| “Subsidiaries”  | Collectively, the direct subsidiary of our Company namely, Mom’s Belief US Inc., and the step- down subsidiary of our Company namely, Allergy & Immunology Virginia, LLC, the details of  which are set out in  “History and certain Corporate Matters”  on page 262 of this Updated Draft  Red Herring Prospectus - I  |
