# RAYS OF BELIEF LIMITED Corporate Identity Number : U85110DL2017PLC322623  REGISTERED OFFICE CORPORAT[...]

## * **32.** *    * **A cyber-security breach could adversely affect our operations.** *

|  Name of entity  |  Criminal  proceedings  |  Tax  proceedings  |  Statutory or  regulatory  proceedings  |  Disciplinary  actions by the  SEBI or the stock  exchanges  against our  Promoters in the  last five Fiscal  Years  |  Material civil  litigation  |  Aggregate  amount  involved  (in ₹  million)*  |
|:---|:---|:---|:---|:---|:---|:---|
| Company  | Company  | Company  | Company  | Company  | Company  | Company  |
| Against our Company  | Nil  | Nil  | Nil  | Not applicable  | Nil  | Nil  |
| By our Company  | 1  | Not applicable  | Not applicable  | Not applicable  | 2  | 24.50  |
| Subsidiaries  | Subsidiaries  | Subsidiaries  | Subsidiaries  | Subsidiaries  | Subsidiaries  | Subsidiaries  |
| Against our Subsidiaries  | Nil  | Nil  | Nil  | Not applicable  | Nil  | Nil  |
| By our Subsidiaries  | Nil  | Not applicable  | Not applicable  | Not applicable  | Nil  | Nil  |
| Directors other than Promoter  | Directors other than Promoter | Directors other than Promoter | Directors other than Promoter  | Directors other than Promoter  | Directors other than Promoter  | Directors other than Promoter  |
| Against our Directors  | Nil  | Nil  | Nil  | Not applicable  | Nil  | Nil  |
| By our Directors  | Nil  | Not applicable  | Nil  | Not applicable  | Nil  | Nil  |
| Key Managerial Personnel  | Key Managerial Personnel  | Key Managerial Personnel  | Key Managerial Personnel  | Key Managerial Personnel  | Key Managerial Personnel  | Key Managerial Personnel  |
| Against  our  Key  Managerial Personnel  | Nil  | Not applicable  | Nil  | Not applicable  | Not applicable  | Nil  |
| By our Key Managerial  Personnel  | Nil  | Not applicable  | Not applicable  | Not applicable  | Not applicable  | Nil  |
| Senior Management Personnel  | Senior Management Personnel  | Senior Management Personnel  | Senior Management Personnel  | Senior Management Personnel  | Senior Management Personnel  | Senior Management Personnel  |
| Against  our  Senior  Management Personnel | Nil  | Not applicable  | Nil  | Not applicable  | Not applicable  | Nil  |
| By  our  Senior  Management Personnel  | Nil  | Not applicable  | Not applicable  | Not applicable  | Not applicable  | Nil  |
| Promoters  | Promoters  | Promoters  | Promoters  | Promoters  | Promoters  | Promoters  |
| Against our Promoters  | Nil  | Nil  | Nil  | Nil  | Nil  | Nil  |
| By our Promoters  | Nil  | Not applicable  | Nil  | Not applicable  | Nil  | Nil  |
***   *To the extent quantifiable.*
