# RAYS OF BELIEF LIMITED Corporate Identity Number : U85110DL2017PLC322623  REGISTERED OFFICE CORPORAT[...]

## **RAYS OF BELIEF LIMITED**

#### **Issue related ter m s**

8
|  Term  |  Description  |
|:---|:---|
| “Mutual Fund Portion”  | 5% of the QIB Portion or [- ] Equity Shares of face value ₹ 10/- each which shall be available for  allocation to Mutual Funds only, on a proportionate basis, subject to valid Bids being received at or  above the Issue Price  |
| “Net Proceeds”  | Proceeds of the Issue less the Issue expenses. For further details regarding the use of the Net Proceeds  and the Issue expenses, please see  “Objects of the Issue”  on page 115 of this Updated Draft Red  Herring Prospectus - I  |
| “Net QIB Portion”  | The portion of the QIB Portion less the number of Equity Shares allocated to the Anchor Investors  |
| “Non-Institutional Bidders” or  “NIBs”  | All Bidders, including FPIs other than individuals, corporate bodies and family offices, registered  with SEBI that are not QIBs (including Anchor Investors) or Retail Individual Bidders who have Bid  for Equity Shares for an amount of more than ₹ 200,000 (but not including NRIs other than Eligible  NRIs)  |
| “Non-Institutional Portion”  | The portion of the Issue being not more than 15% of the Issue consisting of [- ] Equity Shares of face  value ₹ 10/- each, which shall be available for allocation to Non-Institutional Bidders in accordance  with the SEBI ICDR Regulations, out of which (a) one-third of such portion shall be reserved for  Bidders with application size of more than ₹ 200,000 and up to ₹ 1,000,000; and (b) two-thirds of  such portion shall be reserved for Bidders with application size of more than ₹ 1,000,000, provided  that the unsubscribed portion in either of such sub-categories may be allocated to applicants in the  other sub-category of Non-Institutional Bidders, subject to valid Bids being received at or above the  Issue Price  |
| “Pre-filed Draft Red Herring  Prospectus”  or  “Pre-filed  DRHP” or “PDRHP” | The pre-filed draft red herring prospectus dated August 18, 2025, filed with SEBI and the Stock  Exchanges, in accordance with Chapter IIA of the SEBI ICDR Regulations, which does not contain  complete particulars of the price at which the Equity Shares will be Allotted and the size of the Issue.  |
| “Pre-IPO Placement”  | Our Company, in consultation with the BRLM, may consider a Pre-IPO Placement, prior to filing of  the Red Herring Prospectus ( “ RHP ” ) with the RoC. The Pre-IPO Placement, if undertaken, will be  at a price to be decided by our Company, in consultation with the BRLM. If the Pre-IPO Placement  is completed, the amount raised pursuant to the Pre-IPO Placement will be reduced from the Issue,  subject to compliance with Rule 19(2)(b) of the SCRR. The Pre-IPO Placement, if undertaken, shall  not exceed 20% of the size of the Issue. Prior to the completion of the Issue and the allotment pursuant  to the Pre-IPO Placement, our Company shall appropriately intimate the subscribers to the Pre-IPO  Placement, that there is no guarantee that our Company may proceed with the Issue or the Issue may  be successful and will result into listing of the Equity Shares on the Stock Exchanges. Further,  relevant disclosures in relation to such intimation to the subscribers to the Pre-IPO Placement (if  undertaken) shall be appropriately made in the relevant sections of the RHP and Prospectus. |
| “Price Band”  | Price band of a minimum price of ₹ [- ] per Equity Share ( i.e.,  the Floor Price) of face value ₹ 10/-  each and the maximum price of ₹ [- ] per Equity Share ( i.e. , the Cap Price) of face value ₹ 10/- each,  including any revisions thereof.  The Price Band and the minimum Bid Lot for the Issue will be decided by our Company, in  consultation with the BRLM, and shall be notified in all editions of Financial Express, an English  national daily newspaper, all editions of Jansatta, a Hindi national daily newspaper in Delhi, where  our Registered Office is located, each with wide circulation, at least two Working Days prior to the  Bid/Issue Opening Date and shall be made available to the Stock Exchanges for the purpose of  uploading on their respective websites  |
| “Pricing Date”  | The date on which our Company, in consultation with the BRLM, shall finalise the Issue Price  |
| “Promoter’s Contribution”  | Aggregate of 20% of the fully diluted post-Issue Equity Share capital of our Company that is eligible  to form part of the minimum promoter’s contribution, as required under the provisions of the SEBI  ICDR Regulations, held by our Promoters, which shall be locked-in for a period of 3 years  |
| “Prospectus”  | The prospectus for the Issue to be filed with the RoC on or after the Pricing Date in accordance with  the provisions of Section 26 of the Companies Act, 2013 and the SEBI ICDR Regulations, and  containing,  inter alia , the Issue Price that is determined at the end of the Book Building Process, the  size of the Issue and certain other information, including any addenda or corrigenda thereto  |
| “Public Issue Account(s)”  | ‘No-lien’ and ‘non-interest-bearing’ bank account(s) opened in accordance with Section 40(3) of the  Companies Act, 2013, with the Public Issue Account Bank(s) to receive money from the Escrow  Account(s) and the ASBA Accounts maintained with the SCSBs on the Designated Date  |
| “Public Issue Account Bank(s)”  | The bank(s) which are clearing members and registered with the SEBI as a banker to an issue under  the Securities and Exchange Board of India (Bankers to an Issue) Regulations, 1994, as amended  from time to time, with which the Public Issue Account(s) shall be opened, being [- ]  |
| “QIB Portion”  | The portion of the Issue (including Anchor Investor Potion) being at least 75% of the Issue  comprising [- ] Equity Shares, which shall be available for allocation on a proportionate basis to QIBs  |
