# RAYS OF BELIEF LIMITED Corporate Identity Number : U85110DL2017PLC322623  REGISTERED OFFICE CORPORAT[...]

## **RAYS OF BELIEF LIMITED**

#### **Conventional terms/abbreviations**

|  Term  |  Description  |
|:---|:---|
| “ AGM ”  | Annual General Meeting  |
| “ Alternative  Investment  Funds ”  or  “ AIFs ”  | Alternative investment funds as defined in, and registered under the SEBI AIF Regulations  |
| “ Basic Earnings per Share ”  or  “ Basic EPS ”  | Restated profit for the year/period attributable to the equity Shareholders divided by the weighted  average number of Equity Shares outstanding during the year/period  |
| “ BSE ”  | BSE Limited  |
| “ CAGR ”  | Compounded annual growth rate  |
| “ Category I AIF ”  | AIFs who are registered as  “ Category I Alternative Investment Funds ”  under the SEBI AIF Regulations.  |
| “ Category I FPIs ”  | FPIs registered as  “ Category I foreign portfolio investors ”  under the SEBI FPI Regulations  |
| “ Category II AIF ”  | AIFs who are registered as  “ Category II Alternative Investment Funds ”  under the SEBI AIF  Regulations.  |
| “ Category II FPIs ”  | FPIs registered as  “ Category II foreign portfolio investors ”  under the SEBI FPI Regulations  |
| “ Category III AIFs ”  | AIFs who are registered as  “ Category III Alternative Investment Funds ”  under the SEBI AIF  Regulations  |
| “ CDSL ”  | Central Depository Services (India) Limited  |
| “ Companies Act, 1956 ”  | The Companies Act, 1956, read with the rules, regulations, clarifications and modifications notified  thereunder  |
| “ Consolidated FDI Policy ”  | The consolidated FDI Policy, effective from October 15, 2020, issued by the DPIIT, and any  amendments or substitutions thereof, issued from time to time  |
| “ COVID-19 ”  | Coronavirus disease  |
| “ CSR ”  | Corporate social responsibility  |
| “ Debt equity ratio ”  | Debt equity ratio is calculated as Total Borrowings divided by total equity  |
| “ Depositories ”  | NSDL and CDSL  |
| “ Depository Participant ”  or  “ DP ”  | A depository participant as defined under the Depositories Act  |
| “ Diluted Earnings per Share  or  “ Diluted EPS ” | Restated profit for the year/period attributable to equity Shareholders divided by weighted average  number of Equity Shares outstanding during the year/period as adjusted for the effects of all dilutive  potential Equity Shares during the year/period |
| “ DIN ”  | Director Identification Number  |
| “ DP ID ”  | Depository Participant’s identity number  |
| “ DPDP Act ”  | Digital Personal Data Protection Act, 2023  |
| “ DPIIT ”  | Department of Promotion of Industry and Internal Trade, Ministry of Commerce and Industry,  Government of India  |
| “ EGM ”  | Extraordinary General Meeting  |
| “ EBITDA ”  | Earnings before interest, tax, depreciation and amortisation or EBITDA is calculated as profit for the  year plus tax expense, depreciation and amortisation and finance cost less other income for the  year/period  |
| “ EBITDA margin ”  | EBITDA margin is calculated as a percentage of EBITDA divided by revenue from operations as per  the Restated Financial Information  |
| “ EPF Act ”  | Employees’ Provident Funds and Miscellaneous Provisions Act, 1952, as amended  |
| “ EPS ”  | Earnings per share  |
| “ ESI Act ”  | Employees’ State Insurance Act, 1948, as amended  |
