# RAYS OF BELIEF LIMITED Corporate Identity Number : U85110DL2017PLC322623  REGISTERED OFFICE CORPORAT[...]

## **5. Support Groups and Coaching**

#### **Changes to our Board in the last three years**

The changes in our Board during the three years immediately preceding the date of this Updated Draft Red Herring Prospectus - I are set forth below:
|  Name  |  Date of appointment/  cessation / change in  designation  |  Designation (at the time of  appointment/ cessation)  |  Reason  |
|:---|:---|:---|:---|
| Rajeev  | July 24, 2025  | Non-Executive Director  | Resignation as Executive Director  |
| Mohd Nausad  | July 24, 2025  | Non-Executive Director  | Resignation as Executive Director  |
| Nitin Ahuja  | June 13, 2025  | Independent Director  | Change in designation to Independent  Director  |
| Bindu Damodaran  | June 13, 2025  | Independent Director  | Change in designation to Independent  Director  |
| Sunil Kumar  Agarwal  | June 13, 2025  | Independent Director  | Change in designation to Independent  Director  |
| Bindu Damodaran  | May 12, 2025  | Additional Director  | Appointment as Additional Director  (Independent) |
| Sunil Kumar  Agarwal  | May 09, 2025  | Additional Director  | Appointment as Additional Director  (Independent) |
| Nitin Ahuja  | April 24, 2025  | Additional Director  | Appointment as Additional Director  (Independent) |
| Nitin Bindlish  | April 04, 2025  | Director  | Change in designation to Managing  Director  |
| Rajeev  | September 30, 2022  | Additional Director  | Change in designation to Executive  Director  |
| Afzal Mohammed  Modak | September 30, 2022  | Additional Director  | Change in designation to Non- Executive  Director |
| Nitin Bindlish  | September 30, 2022  | Additional Director  | Change in designation to Executive  Director  |
