# RAYS OF BELIEF LIMITED Corporate Identity Number : U85110DL2017PLC322623  REGISTERED OFFICE CORPORAT[...]

## **10. Key Audit Matters**

#### **Acquisition of Subsidiary and Recognition of Provisional Goodwill**

|  Particulars  |  Outstanding for following periods from due date of payment  |  Outstanding for following periods from due date of payment  |  Outstanding for following periods from due date of payment  |  Outstanding for following periods from due date of payment  |  Outstanding for following periods from due date of payment  |
|:---|:---|:---|:---|:---|:---|
| Particulars  | Less than 6  months  | 6 month -1 year  | 1-2 years  | 2-3 years  | More than 3  years  |
| (i) Undisputed Trade receivables -  considered good  | 30.87  | 0.04  | -  | 0.23  | -  |
| (ii) Undisputed Trade Receivables -  considered doubtful | -  | -  | -  | -  | -  |
| (iii) Disputed Trade Receivables considered good  | -  | -  | -  | -  | -  |
| (iv) Disputed Trade Receivables considered doubtful  | -  | -  | -  | -  | -  |
**Total 30.87 0.04 - 0.23 - Trade Receivables Ageing Schedule as on 31/03/2024**
|  Particulars  |  Outstanding for following periods from due date of payment  |  Outstanding for following periods from due date of payment  |  Outstanding for following periods from due date of payment  |  Outstanding for following periods from due date of payment  |  Outstanding for following periods from due date of payment  |
|:---|:---|:---|:---|:---|:---|
| Particulars  | Less than 6  months  | 6 month -1 year  | 1-2 years  | 2-3 years  | More than 3  years  |
| (i) Undisputed Trade Receivables -  considered good  | 1.82  | 0.05  | 0.23  | -  | -  |
| (ii) Undisputed Trade Receivables -  considered doubtful | -  | -  | -  | -  | -  |
| (iii) Disputed Trade Receivables considered good  | -  | -  | -  | -  | -  |
| (iv) Disputed Trade Receivables considered doubtful  | -  | -  | -  | -  | -  |
**Total 1.82 0.05 0.23 - - Trade Receivables Ageing Schedule as on 31/03/2023**
|  Particulars  |  Outstanding for following periods from due date of payment  |  Outstanding for following periods from due date of payment  |  Outstanding for following periods from due date of payment  |  Outstanding for following periods from due date of payment  |  Outstanding for following periods from due date of payment  |
|:---|:---|:---|:---|:---|:---|
| Particulars  | Less than 6  months  | 6 month -1 year  | 1-2 years  | 2-3 years  | More than 3  years  |
| (i) Undisputed Trade Receivables -  considered good  | 0.28  | 0.03  | 0.13  | -  | -  |
| (ii) Undisputed Trade Receivables -  considered doubtful | -  | -  | -  | -  | -  |
| (iii) Disputed Trade Receivables considered good  | -  | -  | -  | -  | -  |
| (iv) Disputed Trade Receivables considered doubtful  | -  | -  | -  | -  | -  |
**Total 0.28 0.03 0.13 - -**
