# RAYS OF BELIEF LIMITED Corporate Identity Number : U85110DL2017PLC322623  REGISTERED OFFICE CORPORAT[...]

## **RAYS OF BELIEF LIMITED**

#### **Company related terms**

|  Term  |  Description  |
|:---|:---|
| “Articles of Association” or  “Articles” or “AoA”  | The articles of association of our Company, as amended from time to time  |
| “Audit Committee”  | The audit committee of our Board constituted in accordance with the Companies Act, 2013 and the  SEBI Listing Regulations and as described in  “Our Management -  Committees of our Board -  Audit Committee”  on page 275 of this Updated Draft Red Herring Prospectus - I  |
| “Auditors/ Statuto ry  Auditors”  | The statutory auditors of our Company, being Suri & Sudhir, Chartered Accountants  |
| “Banker(s) to our Company”  | ICICI Bank Limited and Kotak Mahindra Bank Limited, as disclosed in the section titled  “General  Information”  on page 93  of this Updated Draft Red Herring Prospectus - I  |
| “Board of Director(s)/ the Board/  our Board/ Director(s)” | The director(s) on our Board, unless otherwise specified. For further details of our Directors, please  refer to section titled  “Our Management -  Board of Directors”  on page 269  of this Updated Draft  Red Herring Prospectus - I  |
| “CARE”  | Credit Analysis & Research Limited  |
| “CARE Report”  | Industry report titled  “ Report on Neuro-developmental Disorders ”  issued in January 2026 prepared  by CARE, which is exclusively prepared for the purpose of the Issue and is commissioned and paid  for by our Company. CARE was appointed on December 04, 2024, pursuant to an engagement letter  entered into with our Company. The CARE Report is available on the website of our Company at  https://www.momsbelief.com/investor-relations/ |
| “Chief Financial Officer/ CFO”  | The Chief Financial Officer of our Company being Ved Prakash. For further details, see  “Our  Management -  Key Managerial Personnel and Senior Management Personnel”  on page 286 of this  Updated Draft Red Herring Prospectus - I  |

2
|  Term  |  Description  |
|:---|:---|
| “CIN”  | Corporate Identity Number being U85110DL2017PLC322623  |
| “Companies Act/ Ac t”  | The Companies Act, 2013, as applicable and as amended from time to time.  |
| “Company  Secretary  and  Compliance Officer”  | The Company Secretary and Compliance Officer of our Company, being Mayank Bhargava. For  further details, see  “Our Management -  Key Managerial Personnel and Senior Management  Personnel”  on page 286 of this Updated Draft Red Herring Prospectus - I  |
| “Corporate Office”  | The Corporate Office of our Company is situated at T-18/01-02, DLF Phase III, Gurugram,  Haryana, India - 122 001  |
| “Corporate Promoter”  | Our corporate promoter being Carving Futures Pte. Ltd.  |
| “Corporate Social Responsibility  Committee”  | The Corporate Social Responsibility Committee of our Board constituted in accordance with the  Companies Act, 2013 as described in  “Our Management -  Committees of our Board -  Corporate  Social Responsibility Committee”  on page 281 of this Updated Draft Red Herring Prospectus - I  |
| “Depositories Act ”  | The Depositories Act, 1996, as amended from time to time  |
| “Director(s)”  | Director(s) of Rays of Belief Limited, unless otherwise specified  |
| “Equity Shares”  | Equity Shares of our Company of face value of ₹10 each unless otherwise specified in the context  thereof  |
| “Equity Shareholders”  | Persons/ Entities holding Equity Shares of our Company  |
| “ESOP Scheme”  | Rays of Belief Limited Employee Stock Option Plan 2025, as amended from time to time  |
| “Executive Director(s)”  | The executive director(s) on the Board of Directors. For further details of the Executive Directors,  see  “Our Management -  Board of Directors”  on page 269 of this Updated Draft Red Herring  Prospectus - I  |
| “Group Companies”  | Companies which are covered under the applicable accounting standards and also other companies  as considered material by our Board, as disclosed in  “Our Group Companies”  on page 405 of this  Updated Draft Red Herring Prospectus - I  |
| “Holding Company”  | The holding company of our Company being Carving Futures Pte. Ltd.  |
| “Independent Architect” or “IA”  | Ar. Tracy Kikon, registered with Council of Architecture, bearing Membership no- CA/2009/46907  |
