# RAYS OF BELIEF LIMITED Corporate Identity Number : U85110DL2017PLC322623  REGISTERED OFFICE CORPORAT[...]

## **2. Majicl Healthcare Private Limited**

#### **Submission of Bids (other than Bids from Anchor Investors):**

|  Bid/Issue Period (except the Bid/Issue Closing Date)  |  Bid/Issue Period (except the Bid/Issue Closing Date)  |
|:---|:---|
| Submission and Revision in Bids  | Only between 10.00 a.m. and 5.00 p.m. (Indian Standard Time  ( “ IST ” )  |
| Bid/Issue Closing Date*  | Bid/Issue Closing Date*  |
| Submission of Electronic Applications (Online ASBA through  3-in- 1 accounts) -  For RIIs  | Only between 10.00 a.m. and up to 5.00 p.m. IST  |
| Submission of Electronic Applications (Bank ASBA through  Online channels like Internet Banking, Mobile Banking and  Syndicate UPI ASBA applications where Bid Amount is up to  ₹ 0.50 million) | Only between 10.00 a.m. and up to 4.00 p.m. IST  |
| Submission of Electronic Applications (Syndicate Non-Retail,  Non- Individual Applications)  | Only between 10.00 a.m. and up to 3.00 p.m. IST  |
| Submission of Physical Applications (Bank ASBA)  | Only between 10.00 a.m. and up to 1.00 p.m. IST  |
| Submission of Physical Applications (Syndicate Non-Retail,  Non- Individual Applications where Bid Amount is more than  ₹ 0.50 million  | Only between 10.00 a.m. and up to 12.00 p.m. IST  |
| Modification/ Revision/cancellation of Bids  | Modification/ Revision/cancellation of Bids  |
| Modification of Bids by QIBs and NIB categories and  modification/cancellation of Bids by Retail Individual  Bidders #  | Only between 10.00 a.m. and up to 4.00 p.m. IST  |
| Upward or downward revision of Bids or cancellation of Bids  by RIBs  | Only between 10.00 a.m. on Bid/Issue Closing Date and up to  5.00 p.m. IST on Bid/Issue Closing Date |
***   *UPI mandate end time and date shall be 5:00 p.m. on Bid/Issue Closing Date.* *#*   *QIBs and Non-Institutional Bidders can neither revise their bids downwards nor cancel/withdraw their bids.*
