# YASHHTEJ INDUSTRIES (INDIA) LIMITED  CIN: U74999MH2018PLC310828  REGISTERED &   CORP O RA T E  O FFI[...]

## **Table of Contents**

#### **SECTION I: GENERAL**

##### **COMPANY RELATED TERMS**

|  TERM  |  DESCRIPTION  |
|:---|:---|
| Executive Directors  | Executive Director is the Managing Director of our Company.  [For  details, see the chapter titled “Our Management” beginning on page 192  of this Prospectus]  |
| Group Companies  | In terms of SEBI ICDR Regulations, the term “Group Companies”  includes companies (other than our Promoters and Subsidiaries) with  which there were related party transactions as disclosed in the Restated  Financial Statements as covered under the applicable accounting  standards, any other companies as considered material by our Board, in  accordance with the Materiality Policy and as disclosed in chapter titled  “Group Entities of Our Company” beginning on page 218  of this  Prospectus  |
| Independent Director(s)  | Independent Directors on the Board, and eligible to be appointed as an  Independent Director under the provisions of Companies Act and SEBI  LODR Regulations.  [For details of the Independent Directors, please  refer to chapter titled “Our Management” beginning on page 192 of this  Prospectus.]  |
| ISIN  | International Securities Identification Number. In this case being  INE1O6P01016  |
| Key Management Personnel /  KMP  | Key Managerial Personnel of our Company in terms of Regulation  2(1)(bb) of the SEBI ICDR Regulations, together with the Key  Managerial Personnel of our Company in terms of Section 2(51) of the  Companies Act, 2013 and as disclosed in the heading titled  “Key  Managerial Personnel” beginning on page 205  of this Prospectus  |
| Materiality Policy  | The policy adopted by our Board on April 24, 2025 for identification of  Group Companies, material outstanding litigation and outstanding dues  to material creditors, in accordance with the disclosure requirements  under the SEBI ICDR Regulations  |
| Managing Director  | The Managing Director of our Company is Mr. Suraj Shivraj Barge  |
| MOA  /  Memorandum  /  Memorandum of Association | The Memorandum of Association of our Company, as amended from time  to time  |
| Nomination and Remuneration  Committee  | The Nomination and Remuneration Committee of our Company,  constituted in accordance with Section 178 of the Companies Act, 2013.  [For details refer chapter titled “Our  Management” beginning on page  192 of this Prospectus.]  |
| Non-Executive Director  | A Director not being an Executive Director or is an Independent Director  |
| Promoters  | The Promoters of our Company are Mr. Baswaraj Madhavrao Barge, Mr.  Shivling Madhavrao Barge and Mr. Suraj Shivraj Barge  |
| Promoter Group  | Such persons, entities and companies constituting our promoter group  pursuant to Regulation 2(1) (pp) of the SEBI ICDR Regulations as  disclosed in the Chapter titled “ Our Promoters and Promoter Group”  beginning on page 211  of this Prospectus  |
| Registered Office  | The Registered Office of our Company situated at D-73/1, Additional  MIDC, Latur, Maharashtra - 413512  |
| Registrar of Companies / RoC  | Registrar of Companies, Mumbai situated at 100, Everest, Marine Drive,  Netaji Subhash Chandra Bose Road, Dhus wadi, Churchgate, Mumbai,  Maharashtra - 400002  |
| Restated Financial Statements  | Restated Financial Statements of our Company for the stub period ended  on September 30, 2025 and for the financial years ended on 2025, 2024,  and 2023{(prepared in accordance with the Indian GAAP read with  Section 133 of the Companies Act, 2013 and restated in accordance with  requirements of Section 26 of Part I of Chapter III of Companies Act  2013, as  amended,  the SEBI  ICDR  Regulations,  as amended and  the  Guidance Note  on  “Reports  in  Company  Prospectuses  (Revised  2019)”  issued  by  ICAI,  as amended}) which comprises the restated  summary Statement of Assets & Liabilities, the restated summary  Statement of Profit and Loss, the restated summary Statement of Cash  Flows and restated statement of change in equity along with all the  schedules, annexures and notes thereto. |
3
