#

## **2. Solar electricity generation an d s u pp l y**

### Quality Inspection Storage

#### **SECTION VII: FINANCIAL INFORMATION**

##### **.**

|  (a) Reconciliation of restated Equity/ N e t wo r th  |  (a) Reconciliation of restated Equity/ N e t wo r th  |  (a) Reconciliation of restated Equity/ N e t wo r th  |  (a) Reconciliation of restated Equity/ N e t wo r th  |  (a) Reconciliation of restated Equity/ N e t wo r th  |
|:---|:---|:---|:---|:---|
| Particulars  | As at  | As at  | As at  | As at  |
| Particulars  | September  30, 2025  | March  31, 2025  | March  31, 2024  | March  31, 2023  |
| Equity/ Net worth as per audited financ i a ls  | 2,686.78  | 1,961.82  | 899.37  | 16.12  |
|  |  |  |  |  |
| Restatement adjustments:  |  |  |  |  |
| Provision for gratuity  | -  | -  | (0.94)  | (0.50)  |
| Preoperative/Preliminary Expense  | -  | -  | (85.87)  | (35.84)  |
| GST ITC reversal  | -  | -  | (81.34)  | (17.89)  |
| Director's Remuneration  | -  | -  | (12.00)  | (12.00)  |
| Income tax  | -  | -  | (19.19)  | 2.21  |
| Deferred tax  | -  | -  | (19.98)  | 0.13  |
| Prepaid expenses  | -  | -  | 1.85  | -  |
| Depreciation  | -  | -  | 31.98  | -  |
|  (a) Reconciliation of restated Equity/ N e t wo r th  |  (a) Reconciliation of restated Equity/ N e t wo r th  |  (a) Reconciliation of restated Equity/ N e t wo r th  |  (a) Reconciliation of restated Equity/ N e t wo r th  |  (a) Reconciliation of restated Equity/ N e t wo r th  |
|:---|:---|:---|:---|:---|
| Particulars  | As at  | As at  | As at  | As at  |
| Particulars  | September  30, 2025  | March  31, 2025  | March  31, 2024  | March  31, 2023  |
| Subsidy Income  | -  | -  | 93.46  | -  |
|  | -  | -  | (94.24)  | (63.89)  |
|  |  |  |  |  |
| Restated Equity/ Net worth  | 2,686.78  | 1,961.82  | 805.13  | (47.76)  |
| (b) Explanatory notes for the restatem e nt  adjustme nts  | (b) Explanatory notes for the restatem e nt  adjustme nts  | (b) Explanatory notes for the restatem e nt  adjustme nts  | (b) Explanatory notes for the restatem e nt  adjustme nts  | (b) Explanatory notes for the restatem e nt  adjustme nts  |
| (i) The amount relating to the income/ e xp enses  have  b e en adjusted in the year to which the same relates to and under which head the same  related to.  | (i) The amount relating to the income/ e xp enses  have  b e en adjusted in the year to which the same relates to and under which head the same  related to.  | (i) The amount relating to the income/ e xp enses  have  b e en adjusted in the year to which the same relates to and under which head the same  related to.  | (i) The amount relating to the income/ e xp enses  have  b e en adjusted in the year to which the same relates to and under which head the same  related to.  | (i) The amount relating to the income/ e xp enses  have  b e en adjusted in the year to which the same relates to and under which head the same  related to.  |
| (ii) The company has provided excess pro v ision  of  tax  i n  the year in which income tax return has been filed and has been adjusted in prior  period items in financials but in the resta t e d  fi nancials  i t  has been adjusted in the same financial year where it relates to.  | (ii) The company has provided excess pro v ision  of  tax  i n  the year in which income tax return has been filed and has been adjusted in prior  period items in financials but in the resta t e d  fi nancials  i t  has been adjusted in the same financial year where it relates to.  | (ii) The company has provided excess pro v ision  of  tax  i n  the year in which income tax return has been filed and has been adjusted in prior  period items in financials but in the resta t e d  fi nancials  i t  has been adjusted in the same financial year where it relates to.  | (ii) The company has provided excess pro v ision  of  tax  i n  the year in which income tax return has been filed and has been adjusted in prior  period items in financials but in the resta t e d  fi nancials  i t  has been adjusted in the same financial year where it relates to.  | (ii) The company has provided excess pro v ision  of  tax  i n  the year in which income tax return has been filed and has been adjusted in prior  period items in financials but in the resta t e d  fi nancials  i t  has been adjusted in the same financial year where it relates to.  |
| (iii) Appropriate adjustments have been made i n  th e  r e sta t ed financial statements, wherever required, by reclassification of the corresponding  item of income, expenses, assets and liabilities, in order to bring them in line with the groupings as per audited financials of the company for  all the years. | (iii) Appropriate adjustments have been made i n  th e  r e sta t ed financial statements, wherever required, by reclassification of the corresponding  item of income, expenses, assets and liabilities, in order to bring them in line with the groupings as per audited financials of the company for  all the years. | (iii) Appropriate adjustments have been made i n  th e  r e sta t ed financial statements, wherever required, by reclassification of the corresponding  item of income, expenses, assets and liabilities, in order to bring them in line with the groupings as per audited financials of the company for  all the years. | (iii) Appropriate adjustments have been made i n  th e  r e sta t ed financial statements, wherever required, by reclassification of the corresponding  item of income, expenses, assets and liabilities, in order to bring them in line with the groupings as per audited financials of the company for  all the years. | (iii) Appropriate adjustments have been made i n  th e  r e sta t ed financial statements, wherever required, by reclassification of the corresponding  item of income, expenses, assets and liabilities, in order to bring them in line with the groupings as per audited financials of the company for  all the years. |
| (iv) Prepaid expenses on insurance charge s , Gratu it y  th a t w ere previously unrecorded have now been accounted for in the restatement  | (iv) Prepaid expenses on insurance charge s , Gratu it y  th a t w ere previously unrecorded have now been accounted for in the restatement  | (iv) Prepaid expenses on insurance charge s , Gratu it y  th a t w ere previously unrecorded have now been accounted for in the restatement  | (iv) Prepaid expenses on insurance charge s , Gratu it y  th a t w ere previously unrecorded have now been accounted for in the restatement  | (iv) Prepaid expenses on insurance charge s , Gratu it y  th a t w ere previously unrecorded have now been accounted for in the restatement  |
| (v)  Director remuneration have now bee n  a cc o u nt e d  for  in the restatement.  | (v)  Director remuneration have now bee n  a cc o u nt e d  for  in the restatement.  | (v)  Director remuneration have now bee n  a cc o u nt e d  for  in the restatement.  | (v)  Director remuneration have now bee n  a cc o u nt e d  for  in the restatement.  | (v)  Director remuneration have now bee n  a cc o u nt e d  for  in the restatement.  |
| (vi) Government has sanctioned subsidy i n FY  2 4 - 2 5, which we have recognised in the year it belongs  | (vi) Government has sanctioned subsidy i n FY  2 4 - 2 5, which we have recognised in the year it belongs  | (vi) Government has sanctioned subsidy i n FY  2 4 - 2 5, which we have recognised in the year it belongs  | (vi) Government has sanctioned subsidy i n FY  2 4 - 2 5, which we have recognised in the year it belongs  | (vi) Government has sanctioned subsidy i n FY  2 4 - 2 5, which we have recognised in the year it belongs  |
| (vii) Preoperative Expense, Amortisatio n  Ex pense  a n d  GST ITC reversed that were not expensed out previously now have been accounted  for in the restatement  | (vii) Preoperative Expense, Amortisatio n  Ex pense  a n d  GST ITC reversed that were not expensed out previously now have been accounted  for in the restatement  | (vii) Preoperative Expense, Amortisatio n  Ex pense  a n d  GST ITC reversed that were not expensed out previously now have been accounted  for in the restatement  | (vii) Preoperative Expense, Amortisatio n  Ex pense  a n d  GST ITC reversed that were not expensed out previously now have been accounted  for in the restatement  | (vii) Preoperative Expense, Amortisatio n  Ex pense  a n d  GST ITC reversed that were not expensed out previously now have been accounted  for in the restatement  |
