# Pursuant to Special Resolution passed at the Extra Ordinary General Meeting held on December 10, 2024, Equity Shares of face value of ₹100/- each of our Company were sub-divided into Equity Shares of face value of ₹10/- each.

##### **Cash flow from Investing Activities:**

##### **YEAR ON YEAR COMPARISON OF COMPONENTS OF THE CASH FLOW STATEMENT**
##### **Cashflow from Operating Activities:**
|  Sr. No.  |  Particulars  |  FY 2025 to FY 2024  |  FY 2024 to FY 2023  |
|---:|:---|:---|:---|
|  1  | Profit before tax  | Profit before tax has increased  from ₹185 Lakhs for FY 2024 to  ₹1,552.32 Lakhs for FY 2025.  | Profit before tax has increased to ₹185  Lakhs for FY 2024 from a Loss of  ₹57.89 Lakhs for FY 2023  |
|  2  | Depreciation  | Depreciation being the non cash  items, thus the same has been  added to the Profit before tax for  the purpose of computation of the  cashflow from operations. Our  depreciation  and  amortization  expense increased from ₹32.78  Lakhs for FY 2024 to ₹183.92  Lakhs for FY 2025.  | Depreciation being the non cash items,  thus the same has been added to the  Profit before tax for the purpose of  computation of the cashflow from  operations. Our Company did not  recognize any depreciation expenses  during the FY 2023 whereas our  Company  recognized  depreciation  expenses of ₹32.78 Lakhs during the FY  2024.  |
|  3  | Interest Income  | Interest Income is adjusted to the  Profit before tax for the purpose of  computation of the cashflow from  operations. Interest Income is  ₹20.57 Lakhs for FY 2025 and  ₹0.17 Lakhs for FY 2024.  | Interest Income is adjusted to the Profit  before  tax  for  the  purpose  of  computation of the cashflow from  operations. Interest Income is ₹0.17  Lakhs for FY 2024 and ₹0.00 Lakhs for  FY 2023.  |
|  4  | Finance Cost  | Finance Cost is adjusted to the  Profit before tax for the purpose of  computation of the cashflow from  operations.  Finance  Cost  is  ₹386.45 Lakhs for FY 2025 and  ₹41.86 Lakhs for FY 2024.  | Finance Cost is adjusted to the Profit  before  tax  for  the  purpose  of  computation of the cashflow from  operations. Finance Cost is ₹41.86  Lakhs for FY 2025 and ₹0.00 Lakhs for  FY 2024.  |
|  5  | Changes in the  working capital | -  Increase  in  inventories  -  ₹1,349.74 Lakhs  -  Increase in trade receivables-  ₹108.47 Lakhs  -  Increase in other current assets  - ₹1.91 Lakhs  -  Increase in trade payable -  ₹244.86 Lakhs  -  Decrease in other current  liabilities - ₹710.45 Lakhs  -  Increase  in  long  term  provisions - ₹3.42 Lakhs  -  Decrease in the short term  provisions - ₹28.49 Lakhs  -  Increase in other non current  assets - ₹36.28 Lakhs  -  Decrease in short term loans  and advances - ₹118.97 Lakhs | -  Increase in inventories - ₹1,861.57  Lakhs  -  Increase in trade receivables- ₹5.01  Lakhs  -  Increase in other current assets -  ₹295.91 Lakhs  -  Increase in trade payable - ₹272.04  Lakhs  -  Increase in other current liabilities -  ₹873.13 Lakhs  -  Increase in long term provisions -  ₹0.43 Lakhs  -  Increase in other non current assets  - ₹0.17 Lakhs  -  Decrease in short term loans and  advances - ₹127.37 Lakhs |
|  6  | Direct tax paid  | Direct tax paid is ₹113.27 Lakhs  for FY 2025 and ₹6.86 Lakhs for  FY 2024  | Direct tax paid is ₹6.86 Lakhs for FY  2024 and ₹0 Lakhs for FY 2023  |
##### **Cash flow from Investing Activities:**
|  Sr.No.  |  Particulars  |  FY 2025 to FY 2024  |  FY 2024 to FY 2023  |
|---:|:---|:---|:---|
|  1  | Purchase  of  Property,  Plant  and Equipment | Purchase of Property, Plant and  Equipment amounted to ₹420.05  Lakhs for FY 2025 and ₹1,637.21  Lakhs for FY 2024.  | Purchase  of  Property,  Plant  and  Equipment amounted to ₹1,637.21  Lakhs for FY 2024 and ₹13.38 Lakhs  for FY 2023.  |
|  2  | Non  current  investments  | Increase  in  the  non-current  investments of ₹30.86 Lakhs for  FY 2025 and ₹13.43 Lakhs for FY  2024.  | Increase in the non-current investments  of ₹13.43 Lakhs for FY 2024 and  ₹30.86 Lakhs for FY 2023.  |
|  3  | Capital work in  progress  | Increase in the capital work in  progress of ₹110.60 Lakhs for FY  2025 and ₹0 Lakhs for FY 2024.  | Increase in the capital work in progress  of ₹0 Lakhs for FY 2024 and ₹996.32  Lakhs for FY 2023.  |
|  4  | Loans given  | Decrease in loans given amounting  to ₹103 Lakhs for FY 2025  | Increase in loans given amounting to  ₹100 Lakhs for FY 2023.  |
|  5  | Interest income  on Fixed deposits  | Interest Income is adjusted for the  purpose of computation of the  cashflow from investing activities.  Interest Income is ₹20.57 Lakhs for  FY 2025 and ₹0.17 Lakhs for FY  2024. | Interest Income is adjusted for the  purpose of computation of the cashflow  from  investing  activities.  Interest  Income is ₹0.17 Lakhs for FY 2024 and  ₹0.00 Lakhs for FY 2023. |
